"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",106.052943607007,45.2644783482225,45.2644783482225
"Dim.2",61.1977922692992,26.1198421177032,71.3843204659256
"Dim.3",27.6778889824877,11.8132054044141,83.1975258703397
"Dim.4",17.40116560821,7.42699501887857,90.6245208892183
"Dim.5",10.9421441733296,4.67021877159928,95.2947396608176
"Dim.6",5.4520790980718,2.32700298449011,97.6217426453077
"Dim.7",2.75705195819237,1.17673790488053,98.7984805501882
"Dim.8",1.91954361864979,0.819280800793358,99.6177613509816
"Dim.9",0.768728192311743,0.328101035512077,99.9458623864937
"Dim.10",0.0649087977224474,0.0277037371070456,99.9735661236007
"Dim.11",0.0363871069462588,0.0155303884881,99.9890965120888
"Dim.12",0.0154281793871572,0.00658490437012563,99.9956814164589
"Dim.13",0.01011801530218,0.00431847216112772,99.9999998886201
"Dim.14",2.6095896711877e-07,1.11379949628683e-07,100
