Dim.1,Dim.2,Dim.3,Dim.4,TP,Transect
-0.162876106,12.66709992,1.148214763,1.371881819,December,EB01
-18.82694961,-3.266102708,3.234900674,-1.141486968,December,EB11
-16.10699953,-0.012890847,-11.52756976,-0.355398932,December,EB02
-8.344128454,-5.446521435,10.19412972,-2.629584392,December,EB05
-9.656710198,0.585046552,-2.908247291,-2.982699103,December,EB06
-4.115853422,-6.240701185,2.999357581,-1.069970955,December,EB07
-20.37065502,4.056545851,-5.46508836,-1.341998305,December,SB01
-3.871331141,15.60488807,3.696185319,0.864732547,December,SB02
-14.0050976,3.153304244,4.216114419,-1.728289474,December,SB03
-2.907503132,-4.938483783,5.450082704,6.105838376,December,SB04
1.932055394,-2.445204864,-0.98484698,9.82848581,December,SB05
-9.819318187,-0.75518228,-4.155756439,1.755347993,December,SB06
13.62735302,20.54186819,1.647433647,-1.10072408,April,EB01
13.02482927,6.003006287,-1.18353366,-5.968805398,April,EB11
8.381100298,-8.669207255,-4.14915237,1.313834537,April,EB02
7.800766465,0.027481942,0.244376647,-3.104669137,April,EB05
3.758852999,-8.652589007,11.86457179,-2.885075333,April,EB06
8.743769113,-7.627520957,-5.142062335,-2.757625522,April,EB07
8.272775755,6.972096643,-3.897117541,-3.144856148,April,SB01
10.15491357,-6.961276848,1.03604842,-5.063288063,April,SB02
7.532981487,-8.038524453,0.628309171,-2.447470298,April,SB03
7.874294959,4.298160367,1.521020882,5.821624156,April,SB04
7.205384199,-2.070978639,0.539295778,10.73858135,April,SB05
9.878345878,-8.784313803,-9.006666782,-0.078384477,April,SB06
