"","Transect","TP","Coral.ID","Growth_form","Colour_morph","Size","Healthy","Colour","Number","Area","Partial_mortality","Other_mortality","transect_ID","Timepoint","Site","Acropora","Cyano_mat","Other_hard_coral","Lyngbya","Macroalgae","Montipora","Other_benthic_invert","Other_branching","Other_calcifier","Other_substrate","Sediment","Soft_coral","Turf","Turf_sediment_matrix","Total_hardcoral"
"1","EB01","April",1,"Enc","Brown","Small","Health","Health",0,0,10,10,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"2","EB01","April",2,"Enc","Brown","Small","Health","Health",0,0,4,4,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"3","EB01","April",3,"Enc","Brown","Small","Diseased","Health",2,14,20,6,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"4","EB01","April",4,"Enc","Brown","Small","Health","Health",0,0,25,25,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"5","EB01","April",5,"Enc","Brown","Small","Diseased","Health",2,6,10,4,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"6","EB01","April",6,"Enc","Brown","Medium","Health","Health",0,0,0,0,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"7","EB01","April",7,"Foliose","Brown","Medium","Diseased","Health",5,9,21,12,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"8","EB01","April",8,"Enc","Brown","Medium","Diseased","Health",2,2,30,28,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"9","EB01","April",9,"Enc","Brown","Small","Diseased","Health",4,4,8,4,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"10","EB01","April",10,"Enc","Brown","Small","Health","Health",0,0,39,39,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"11","EB01","April",11,"Enc","Brown","Small","Health","Health",0,0,20,20,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"12","EB01","April",12,"Foliose","Brown","Large","Diseased","Health",8,26,42,16,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"13","EB01","April",13,"Foliose","Brown","Small","Diseased","Health",3,10,15,5,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"14","EB01","April",14,"Foliose","Brown","Small","Health","Health",0,0,10,10,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"15","EB01","April",15,"Foliose","Brown","Medium","Diseased","Health",1,25,30,5,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"16","EB01","April",16,"Enc","Brown","Small","Diseased","Health",8,20,28,8,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"17","EB01","April",17,"Enc","Brown","Small","Diseased","Health",5,29,29,0,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"18","EB01","April",18,"Enc","Brown","Small","Health","Health",0,0,6,6,"April _ EB01","April","EB",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
