"","Site","Transect","TP","Healthy","n","severity","freq","prev","total_corals_surveyed","Timepoint","Acropora","Cyano_mat","Other_hard_coral","Lyngbya","Macroalgae","Montipora","Other_benthic_invert","Other_branching","Other_calcifier","Other_substrate","Sediment","Soft_coral","Turf","Turf_sediment_matrix","Total_hardcoral"
"1","EB","EB01","April","Diseased",11,13.6363636363636,0.578947368421053,57.8947368421053,19,"April",26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
"2","EB","EB02","April","Diseased",6,19,0.375,37.5,16,"Dec",0.05,0.05,1.25,25.4,0.354166667,10.35,0.033333333,0.25,0.275,1.233333333,7.7,0,5.4,9.2,38.8
"3","EB","EB02","April","Diseased",6,19,0.375,37.5,16,"April",0.05,9,0.45,0.9,0.4125,12.65,0.033333333,3.75,0.4,0.5,9.4,0.2,3.6,15.3,39.2
"4","EB","EB02","December","Diseased",14,14.4285714285714,0.777777777777778,77.7777777777778,18,"Dec",0.05,0.05,1.25,25.4,0.354166667,10.35,0.033333333,0.25,0.275,1.233333333,7.7,0,5.4,9.2,38.8
"5","EB","EB02","December","Diseased",14,14.4285714285714,0.777777777777778,77.7777777777778,18,"April",0.05,9,0.45,0.9,0.4125,12.65,0.033333333,3.75,0.4,0.5,9.4,0.2,3.6,15.3,39.2
"6","EB","EB05","April","Diseased",12,13.3333333333333,0.315789473684211,31.5789473684211,38,"Dec",1.9,0.15,0.342857143,12.8,0.958333333,1.4,0.1,0,0.8,0.433333333,14.1,0.05,7.1,26.4,11.4
"7","EB","EB05","April","Diseased",12,13.3333333333333,0.315789473684211,31.5789473684211,38,"April",6.5,8.2,0.292857143,2.1,0.858333333,4.15,0.433333333,1.75,0.275,1.4,7.9,0.2,3,14.1,28.9
"8","EB","EB05","December","Diseased",20,13.1,0.769230769230769,76.9230769230769,26,"Dec",1.9,0.15,0.342857143,12.8,0.958333333,1.4,0.1,0,0.8,0.433333333,14.1,0.05,7.1,26.4,11.4
"9","EB","EB05","December","Diseased",20,13.1,0.769230769230769,76.9230769230769,26,"April",6.5,8.2,0.292857143,2.1,0.858333333,4.15,0.433333333,1.75,0.275,1.4,7.9,0.2,3,14.1,28.9
"10","EB","EB06","April","Diseased",12,8.5,0.857142857142857,85.7142857142857,14,"Dec",1.75,0.05,0.15,16.9,0.516666667,3.1,0.2,0.15,0.15,10.6,6.8,1,4.2,12.5,12.1
